,precision,recall,f1-score,support
0,0.8411347517730496,0.9488,0.8917293233082707,625.0
1,0.13513513513513514,0.042735042735042736,0.06493506493506493,117.0
accuracy,0.8059299191374663,0.8059299191374663,0.8059299191374663,0.8059299191374663
macro avg,0.48813494345409236,0.49576752136752134,0.47833219412166783,742.0
weighted avg,0.7298113620875565,0.8059299191374663,0.761358800087698,742.0
