Mode,Accuracy,Macro Precision,Macro Recall,Macro F1
Argmax,0.96625,0.9611291932120065,0.9720833333333333,0.9662093320179587
Calibrated,0.974375,0.9726875909837728,0.9758333333333334,0.9741369570110251
